com.samsung.shealth.activity.day_summary,6260063,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,6132,,3806216,90,0,,2022-06-24 20:48:06.821,,2022-06-23 21:00:00.739,,,,-1,780000,70,,,,4620.6562,,217.19727,53725e69-c701-4810-88b8-7cb83e4c71b7.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,3806216,35760000,53725e69-c701-4810-88b8-7cb83e4c71b7,1656028800000,
,,,,0,,0,90,0,,2022-05-19 19:11:26.045,,2022-05-19 19:11:26.045,,,,-1,0,0,,,,0.0,,0.0,fb056888-777e-4c69-8d06-a09b70b2701d.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,fb056888-777e-4c69-8d06-a09b70b2701d,1652832000000,
,,,,919,,566830,90,0,,2022-06-29 20:02:31.783,,2022-06-28 21:01:43.082,,,,-1,120000,10,,,,702.12305,,32.298462,f81f93a5-9395-4909-b4ad-d08af6bfe16b.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,566830,32880000,f81f93a5-9395-4909-b4ad-d08af6bfe16b,1656460800000,
,,,,8543,,4946360,90,0,,2022-05-20 20:21:48.706,,2022-05-19 21:00:00.630,,,,-1,1019583,91,,,,6703.151,,303.37183,5470e681-0faa-4598-a4fc-4b15ea0bcb60.extra_data.json,D7+MLxdohL,12818,com.sec.android.app.shealth,4933542,33660000,5470e681-0faa-4598-a4fc-4b15ea0bcb60,1653004800000,
,,,,2795,,1665841,90,0,,2022-08-08 20:36:29.817,,2022-08-07 21:00:00.862,,,,-1,959742,30,,,,2199.7266,,100.48413,46d08874-622a-4465-be96-2466c254f93f.extra_data.json,D7+MLxdohL,1200,com.sec.android.app.shealth,1664641,32340000,46d08874-622a-4465-be96-2466c254f93f,1659916800000,
,,,,10995,,6426175,90,0,,2022-05-22 20:32:22.555,,2022-05-21 21:00:00.726,,,,-1,719579,118,,,,8541.051,,386.45383,a984bb3a-12dc-42fa-a0a3-fb35433a7d13.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,6426175,30720000,a984bb3a-12dc-42fa-a0a3-fb35433a7d13,1653177600000,
,,,,744,,488881,90,0,,2022-07-19 18:38:48.405,,2022-07-18 21:00:00.601,,,,-1,60000,8,,,,563.8789,,26.345947,0ee161cd-9f43-4041-a47e-124eb1d0b3fa.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,488881,27480000,0ee161cd-9f43-4041-a47e-124eb1d0b3fa,1658188800000,
,,,,0,,0,90,0,,2022-05-19 19:11:24.225,,2022-05-19 19:11:24.225,,,,-1,0,0,,,,0.0,,0.0,11fee9c5-4754-42ef-980c-cde734a2c463.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,0,-1,11fee9c5-4754-42ef-980c-cde734a2c463,1651104000000,
,,,,4243,,2586006,90,0,,2022-07-27 20:58:11.764,,2022-07-26 21:00:00.616,,,,-1,659670,47,,,,3269.6875,,149.94531,0d7de4c0-73d6-4b36-880d-e9cfe790d372.extra_data.json,D7+MLxdohL,400,com.sec.android.app.shealth,2585606,27720000,0d7de4c0-73d6-4b36-880d-e9cfe790d372,1658880000000,
,,,,8026,,4680839,90,0,,2022-05-24 21:00:47.443,,2022-05-23 21:00:00.418,,,,-1,480000,85,,,,6181.17,,281.90082,74d96959-e896-4ec1-b928-99822d12b247.extra_data.json,D7+MLxdohL,2000,com.sec.android.app.shealth,4678839,34500000,74d96959-e896-4ec1-b928-99822d12b247,1653350400000,
,,,,3240,,2103878,90,0,,2022-06-26 20:39:47.037,,2022-06-25 21:00:00.542,,,,-1,360000,38,,,,2428.0234,,115.37671,4618ddc4-4dec-4e62-beaa-d34e6bccb1d5.extra_data.json,D7+MLxdohL,400,com.sec.android.app.shealth,2103478,40560000,4618ddc4-4dec-4e62-beaa-d34e6bccb1d5,1656201600000,
,,,,1648,,1070445,90,0,,2022-07-02 20:31:10.991,,2022-07-01 21:00:00.518,,,,-1,120000,18,,,,1249.706,,58.415466,cc249c3c-78a0-413c-a923-fa708e377a74.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,1070445,33840000,cc249c3c-78a0-413c-a923-fa708e377a74,1656720000000,
,,,,10140,,6080718,90,0,,2022-06-11 20:05:38.328,,2022-06-10 21:00:01.417,,,,-1,695435,112,,,,7909.8257,,359.28406,15913953-25b7-40e7-b140-e857d87fbaae.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,6080718,22920000,15913953-25b7-40e7-b140-e857d87fbaae,1654905600000,
,,,,8763,,5131507,90,0,,2022-05-30 21:00:01.081,,2022-05-29 21:00:00.453,,,,-1,959792,94,,,,6811.3516,,307.57935,c81db580-2978-4ee0-afbc-96af3ab60d8a.extra_data.json,D7+MLxdohL,800,com.sec.android.app.shealth,5130707,33060000,c81db580-2978-4ee0-afbc-96af3ab60d8a,1653868800000,
,,,,3329,,1976047,90,0,,2022-06-12 19:22:29.940,,2022-06-11 21:00:01.152,,,,-1,300000,35,,,,2567.6875,,117.915955,edac441d-6053-4916-8147-3edfa1de57e9.extra_data.json,D7+MLxdohL,1600,com.sec.android.app.shealth,1974447,50220000,edac441d-6053-4916-8147-3edfa1de57e9,1654992000000,
,,,,3447,,2002341,90,0,,2022-06-16 18:56:24.733,,2022-06-15 21:00:00.652,,,,-1,300000,36,,,,2646.6638,,120.78329,44622176-5f4e-4ab5-abf7-220495a3cbd3.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,2002341,32880000,44622176-5f4e-4ab5-abf7-220495a3cbd3,1655337600000,
,,,,1812,,1208070,90,0,,2022-06-27 20:35:01.970,,2022-06-26 21:01:52.532,,,,-1,41354,22,,,,1353.4447,,64.924805,b7e696f5-7a1a-471d-abd7-ae6a40e13bc9.extra_data.json,D7+MLxdohL,800,com.sec.android.app.shealth,1207270,23940000,b7e696f5-7a1a-471d-abd7-ae6a40e13bc9,1656288000000,
,,,,857,,556915,90,0,,2022-07-22 21:00:00.733,,2022-07-21 21:00:00.706,,,,-1,60000,10,,,,649.1953,,30.42627,922b1543-389c-4e1f-ace3-6f77018b8219.extra_data.json,D7+MLxdohL,0,com.sec.android.app.shealth,556915,34080000,922b1543-389c-4e1f-ace3-6f77018b8219,1658448000000,
,,,,6672,,3898585,90,0,,2022-06-04 20:57:38.377,,2022-06-03 21:00:01.995,,,,-1,360000,71,,,,5200.4297,,235.30884,f66b8173-8ff9-4f99-9560-4373f5a356a2.extra_data.json,D7+MLxdohL,1200,com.sec.android.app.shealth,3897385,39720000,f66b8173-8ff9-4f99-9560-4373f5a356a2,1654300800000,
